feature,review_score,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,mean,median,relative_difference_percent,skewness
d1_arterial_ph_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The highest arterial pH for the patient during the first 24 hours of their unit stay,65.55559190082104,527,7.38923615954416,7.392,0.037396607780414565,-0.6213159649607065
h1_sysbp_invasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, invasively measured",81.68416691199721,181,138.70282176449578,136.0,1.9678150716725615,0.5872449065574038
d1_heartrate_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The patient's highest heart rate during the first 24 hours of their unit stay,0.15810190485536402,120,103.00056788397694,101.0,1.9613356028643434,0.5733788664464559
h1_heartrate_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The patient's highest heart rate during the first hour of their unit stay,3.0420987210101074,119,92.22919829515423,90.0,2.446587392151757,0.5611341864467997
h1_sysbp_noninvasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, non-invasively measured",8.004317817539498,149,133.05468638884938,130.0,2.3224725100193924,0.5513907976770676
h1_sysbp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.937282609880824,149,133.24739506481123,131.0,1.7009780280028999,0.5493598105966481
d1_sysbp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17336691635864054,143,148.33974485003387,146.0,1.5898259687803746,0.5062394289303529
d1_sysbp_noninvasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.119797629561785,143,148.23554903733762,146.0,1.5195642026612737,0.5042092525976452
fio2_apache,1,LOW,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE,numeric,The fraction of inspired oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27148822958577,82,0.5957514991604702,0.5,17.476863911905564,0.4766161749218329
readmission_status,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization,0.0,1,0.0,0.0,0.0,0.0
h1_hco3_max,0,NO_REVIEW,,,,82.969698952166,214,22.496696331391256,23.0,2.212484462356362,-0.4583922057315234
h1_hco3_min,0,NO_REVIEW,,,,82.969698952166,198,22.42169793200589,23.0,2.546369221422763,-0.45024004053528877
h1_diasbp_invasive_min,0,NO_REVIEW,,,,81.69834156553597,86,56.14292523086089,55.0,2.0566765333679284,0.4378501553892082
d1_calcium_min,0,NO_REVIEW,,,,14.249888238308635,49,8.179575047047454,8.2,0.24939539510492117,-0.41781502919229635
h1_heartrate_min,0,NO_REVIEW,,,,3.0420987210101074,109,83.6637202973359,82.0,2.008551171433103,0.39055239373544876
h1_mbp_min,0,NO_REVIEW,,,,5.058170597407129,107,79.4000275627627,78.0,1.778941953748319,0.315949987066099
d1_mbp_invasive_min,0,NO_REVIEW,,,,73.90119176125522,118,62.318348930481285,62.0,0.5121511558350983,-0.3010756538033648
h1_diasbp_min,0,NO_REVIEW,,,,3.946005473596982,92,62.838150157786,62.0,1.3427788808575665,0.30036342093131413
h1_mbp_noninvasive_min,0,NO_REVIEW,,,,9.904811749697426,107,79.70931513149137,79.0,0.8938544418816183,0.296302836802101
h1_sysbp_min,0,NO_REVIEW,,,,3.937282609880824,142,116.36229597511975,115.0,1.177630062303884,0.2935973991696296
sodium_apache,0,NO_REVIEW,,,,20.280658140067384,119,137.96637260131578,138.0,0.024370649486920085,-0.2928185361050245
h1_sysbp_noninvasive_min,0,NO_REVIEW,,,,8.004317817539498,143,116.54962546816479,115.0,1.338482379344505,0.28461302175999204
h1_diasbp_noninvasive_min,0,NO_REVIEW,,,,8.014131039220176,93,63.270616265424415,62.0,2.0285942598577513,0.2816477382773259
h1_temp_max,0,NO_REVIEW,,,,23.695659284943247,294,36.71085759550635,36.7,0.02958035326646006,-0.27357970803429577
d1_potassium_min,0,NO_REVIEW,,,,10.451081089921821,116,3.9346583382037794,3.9,0.8847440873018462,0.27181691601183805
heart_rate_apache,0,NO_REVIEW,,,,0.957334292848342,149,99.70793196455111,104.0,4.213942966340447,-0.2673001474964833
d1_hco3_min,0,NO_REVIEW,,,,16.43278488327718,255,23.170486156415546,23.0,0.7385070880041237,-0.2648643589997304
resprate_apache,0,NO_REVIEW,,,,1.3455017282173738,74,25.811006973993965,28.0,8.135856023151328,0.25849416294592775
d1_hco3_max,0,NO_REVIEW,,,,16.43278488327718,223,24.366500091333734,24.0,1.515512144321573,0.24972471452638534
h1_albumin_max,0,NO_REVIEW,,,,91.39816601790368,37,3.0300798580301684,3.1,2.281214717887858,-0.24767537932259615
h1_albumin_min,0,NO_REVIEW,,,,91.39816601790368,37,3.0290784636836103,3.1,2.3142642645747924,-0.24743325274304578
h1_sysbp_invasive_min,0,NO_REVIEW,,,,81.68416691199721,168,114.83409929753543,112.0,2.4988300315623877,0.24128885025365182
d1_sysbp_min,0,NO_REVIEW,,,,0.17336691635864054,120,96.92387006575355,96.0,0.9577560987540507,0.22187248980075647
d1_sysbp_noninvasive_min,0,NO_REVIEW,,,,1.119797629561785,120,96.99331297002846,96.0,1.0293755309363648,0.2201214457135762
d1_mbp_min,0,NO_REVIEW,,,,0.2398787521943454,91,64.87185904932618,64.0,1.3530635093771222,0.20856893332904217
d1_albumin_min,0,NO_REVIEW,,,,53.53221462606174,35,2.900007039444353,2.9,0.00024273916584355542,-0.20176976552119158
d1_mbp_noninvasive_min,0,NO_REVIEW,,,,1.612639429524713,91,64.94154088259414,64.0,1.4604151247912356,0.1989051223775426
d1_albumin_max,0,NO_REVIEW,,,,53.53221462606174,35,2.9683318863364385,3.0,1.0612048480769198,-0.1970476733518518
d1_diasbp_invasive_min,0,NO_REVIEW,,,,74.12689585991082,85,46.738252770871085,46.0,1.5921213713074593,0.17356059884792063
d1_resprate_min,0,NO_REVIEW,,,,0.4197878163401045,55,12.846279344779257,13.0,1.189499294425862,0.16525709172849007
icu_id,0,NO_REVIEW,,,,0.0,241,508.3576919302607,504.0,0.8608996533531393,-0.16393995040574813
d1_hemaglobin_max,0,NO_REVIEW,,,,13.244578195021425,105,11.448195209008874,11.4,0.4218732251540897,0.15279363085365522
h1_mbp_invasive_min,0,NO_REVIEW,,,,81.60675149651631,133,75.9711304760211,74.0,2.6286798929428175,0.13119523897608512
d1_heartrate_min,0,NO_REVIEW,,,,0.15810190485536402,154,70.32184824392802,69.0,1.897546236414684,-0.11370930642086785
d1_hematocrit_max,0,NO_REVIEW,,,,12.707031718513187,312,34.531970171998154,34.5,0.09262424907907967,0.11075660366261376
albumin_apache,0,NO_REVIEW,,,,59.292575752619584,35,2.9029678041463542,2.9,0.10228573538642663,-0.10672123477895122
height,0,NO_REVIEW,,,,1.454537524669349,401,169.64158786886335,170.1,0.2698592974808739,-0.1014553419471262
d1_diasbp_min,0,NO_REVIEW,,,,0.17990906414575905,78,50.16131428321755,50.0,0.32210895867722994,0.09382416914864551
h1_hemaglobin_min,0,NO_REVIEW,,,,79.73024543957781,124,11.038961807423345,11.0,0.35357207625108017,0.08711972315830327
d1_diasbp_noninvasive_min,0,NO_REVIEW,,,,1.1339722831005419,78,50.24259702447255,50.0,0.4840198312366666,0.0858823759361824
d1_hematocrit_min,0,NO_REVIEW,,,,12.707031718513187,340,32.951813037884556,33.2,0.7503557369570896,-0.07469945799790215
h1_hemaglobin_max,0,NO_REVIEW,,,,79.73024543957781,124,11.18666487358795,11.1,0.7777285123594978,0.06709570607380867
d1_sodium_max,0,NO_REVIEW,,,,11.11619944827887,71,139.12410142545204,139.0,0.08924176280731523,0.054774204227875295
h1_hematocrit_min,0,NO_REVIEW,,,,80.05408175504019,361,33.22315639862242,33.0,0.6739527704755063,0.05257269238000625
hospital_id,0,NO_REVIEW,,,,0.0,147,105.66926171862222,109.0,3.103134798817673,-0.04568284481528574
h1_hematocrit_max,0,NO_REVIEW,,,,80.05408175504019,358,33.67367298966818,33.5,0.5170864773015726,0.040245305129432155
d1_sysbp_invasive_min,0,NO_REVIEW,,,,74.09963691079781,163,93.81375768291656,92.0,1.9522318535871404,0.040075473872497054
h1_calcium_max,0,NO_REVIEW,,,,82.71782626236194,59,8.283716088328076,8.3,0.19638435179659194,0.03266032123066671
d1_calcium_max,0,NO_REVIEW,,,,14.249888238308635,47,8.378880779207568,8.4,0.25173575127374404,-0.029334049232977014
h1_calcium_min,0,NO_REVIEW,,,,82.71782626236194,62,8.282291798107256,8.3,0.2135796680983057,0.02356126062251138
d1_hemaglobin_min,0,NO_REVIEW,,,,13.244578195021425,115,10.887875474448887,10.9,0.11129607900809287,-0.00792622767957669
hematocrit_apache,0,NO_REVIEW,,,,21.67413561872363,353,32.98873947240203,33.2,0.6383579118803393,-0.0007926945536439966
