feature,semantic_type,missing_percent,final_data_status,baseline_status,missing_strategy,encoding_strategy,cleaning_action,special_value_action,redundancy_status,redundancy_with,leakage_status,decision_reason,baseline_reason,level2_evidence,future_experiment,requires_review,review_reason
h1_temp_min,CONTINUOUS,23.7,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_temp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_temp_max:0.8678,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_albumin_max,CONTINUOUS,53.53,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,albumin_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=albumin_apache:0.9613,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_albumin_min,CONTINUOUS,53.53,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,albumin_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=albumin_apache:0.9381,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_bilirubin_max,CONTINUOUS,58.52,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,bilirubin_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=bilirubin_apache:0.9966,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_bilirubin_min,CONTINUOUS,58.52,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_bilirubin_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_bilirubin_max:0.9881,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_bun_max,CONTINUOUS,11.46,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,bun_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=bun_apache:0.9866,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_bun_min,CONTINUOUS,11.46,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,bun_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=bun_apache:0.9675,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_calcium_max,CONTINUOUS,14.25,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_calcium_min,CONTINUOUS,14.25,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_creatinine_max,CONTINUOUS,11.09,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,creatinine_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=creatinine_apache:0.9938,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_creatinine_min,CONTINUOUS,11.09,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,creatinine_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=creatinine_apache:0.9703,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_glucose_max,CONTINUOUS,6.33,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,glucose_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=glucose_apache:0.9230,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_glucose_min,CONTINUOUS,6.33,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_hco3_max,CONTINUOUS,16.43,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_hco3_min,CONTINUOUS,16.43,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_hemaglobin_max,CONTINUOUS,13.24,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_hematocrit_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_hematocrit_max:0.9553,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_hemaglobin_min,CONTINUOUS,13.24,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_hematocrit_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_hematocrit_min:0.9652,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_hematocrit_max,CONTINUOUS,12.71,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_hemaglobin_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_hemaglobin_max:0.9553,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_hematocrit_min,CONTINUOUS,12.71,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,hematocrit_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=hematocrit_apache:0.9687,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_inr_max,CONTINUOUS,63.18,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,h1_inr_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=h1_inr_max:100.0000%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_inr_min,CONTINUOUS,63.18,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,h1_inr_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=h1_inr_min:100.0000%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_lactate_max,CONTINUOUS,74.58,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_lactate_min,CONTINUOUS,74.58,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_platelets_max,CONTINUOUS,14.66,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_platelets_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_platelets_min:0.9635,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_platelets_min,CONTINUOUS,14.66,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_platelets_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_platelets_max:0.9635,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_potassium_max,CONTINUOUS,10.45,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_potassium_min,CONTINUOUS,10.45,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_sodium_max,CONTINUOUS,11.12,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,sodium_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=sodium_apache:0.8916,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_sodium_min,CONTINUOUS,11.12,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,sodium_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=sodium_apache:0.9194,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_wbc_max,CONTINUOUS,14.36,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,wbc_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=wbc_apache:0.9695,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_wbc_min,CONTINUOUS,14.36,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,wbc_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=wbc_apache:0.9293,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_albumin_max,CONTINUOUS,91.4,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_albumin_min,CONTINUOUS,91.4,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_bilirubin_max,CONTINUOUS,92.27,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_bilirubin_min,CONTINUOUS,92.27,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_bun_max,CONTINUOUS,81.88,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_bun_min,CONTINUOUS,81.88,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_calcium_max,CONTINUOUS,82.72,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_calcium_min,CONTINUOUS,82.72,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_creatinine_max,CONTINUOUS,81.73,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_creatinine_min,CONTINUOUS,81.73,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_glucose_max,CONTINUOUS,57.37,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_glucose_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_glucose_min:0.9636,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_glucose_min,CONTINUOUS,57.37,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_glucose_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_glucose_max:0.9636,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_hco3_max,CONTINUOUS,82.97,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_hco3_min,CONTINUOUS,82.97,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_hemaglobin_max,CONTINUOUS,79.73,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_hemaglobin_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_hemaglobin_min:0.9598,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_hemaglobin_min,CONTINUOUS,79.73,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_hemaglobin_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_hemaglobin_max:0.9598,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_hematocrit_max,CONTINUOUS,80.05,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_hematocrit_min,CONTINUOUS,80.05,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_inr_max,CONTINUOUS,63.18,DROP,DROP,NONE,NONE,NONE,NONE,EXACT_DUPLICATE,d1_inr_max,NONE,EXACT_DUPLICATE_OF_d1_inr_max,FINAL_DATA_DROP,EXACT_DUPLICATE_OF=d1_inr_max,NONE,False,
h1_inr_min,CONTINUOUS,63.18,DROP,DROP,NONE,NONE,NONE,NONE,EXACT_DUPLICATE,d1_inr_min,NONE,EXACT_DUPLICATE_OF_d1_inr_min,FINAL_DATA_DROP,EXACT_DUPLICATE_OF=d1_inr_min,NONE,False,
h1_lactate_max,CONTINUOUS,91.99,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_lactate_min,CONTINUOUS,91.99,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_platelets_max,CONTINUOUS,82.51,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_platelets_min,CONTINUOUS,82.51,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_potassium_max,CONTINUOUS,78.62,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_potassium_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_potassium_min:0.9490,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_potassium_min,CONTINUOUS,78.62,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_potassium_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_potassium_max:0.9490,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_sodium_max,CONTINUOUS,79.18,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_sodium_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_sodium_min:0.9786,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_sodium_min,CONTINUOUS,79.18,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_sodium_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_sodium_max:0.9786,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_wbc_max,CONTINUOUS,82.82,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_wbc_min,CONTINUOUS,82.82,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
d1_arterial_pco2_max,CONTINUOUS,64.63,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_arterial_pco2_min,CONTINUOUS,64.63,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_arterial_ph_max,CONTINUOUS,65.56,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_arterial_ph_min,CONTINUOUS,65.56,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_arterial_po2_max,CONTINUOUS,64.62,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_arterial_po2_min,CONTINUOUS,64.62,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_pao2fio2ratio_max,CONTINUOUS,71.97,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_pao2fio2ratio_min,CONTINUOUS,71.97,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
h1_arterial_pco2_max,CONTINUOUS,82.82,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_arterial_pco2_min,CONTINUOUS,82.82,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_arterial_ph_max,CONTINUOUS,83.33,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_arterial_ph_min,CONTINUOUS,83.33,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_arterial_po2_max,CONTINUOUS,82.81,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_arterial_po2_min,CONTINUOUS,82.81,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_pao2fio2ratio_max,CONTINUOUS,87.44,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_pao2fio2ratio_min,CONTINUOUS,87.44,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
apache_4a_hospital_death_prob,DERIVED_PREDICTION,8.67,DROP,DROP,NONE,NONE,NONE,NONE,NONE,,EXCLUDE,EXISTING_MORTALITY_PREDICTION_EXCLUDED,FINAL_DATA_DROP,NONE,NONE,False,
apache_4a_icu_death_prob,DERIVED_PREDICTION,8.67,DROP,DROP,NONE,NONE,NONE,NONE,NONE,,EXCLUDE,EXISTING_MORTALITY_PREDICTION_EXCLUDED,FINAL_DATA_DROP,NONE,NONE,False,
aids,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7073,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
cirrhosis,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,hepatic_failure,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=hepatic_failure:0.7989,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
diabetes_mellitus,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,arf_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=arf_apache:0.7112,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
hepatic_failure,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,cirrhosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=cirrhosis:0.7989,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
immunosuppression,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,solid_tumor_with_metastasis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=solid_tumor_with_metastasis:0.7324,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
leukemia,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7135,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
lymphoma,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7109,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
solid_tumor_with_metastasis,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7324,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
apache_3j_bodysystem,CATEGORICAL,1.81,KEEP,KEEP,MODE,ONE_HOT,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9979,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
apache_2_bodysystem,CATEGORICAL,1.81,KEEP,KEEP,MODE,ONE_HOT,STANDARDIZE_CATEGORY_LABELS,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9979,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
