feature,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent_observed
solid_tumor_with_metastasis,MEDIUM,LOW_UNIQUE_VALUES | MODERATE_OUTLIER_PERCENT,binary,Whether the patient has been diagnosed with any solid tumor carcinoma (including malignant melanoma) which has evidence of metastasis.,0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,1878,2.0637816215741003
d1_mbp_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.2398787521943454,91,55.0,75.0,20.0,25.0,105.0,1795,1.961898724492584
d1_sysbp_noninvasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.119797629561785,120,84.0,110.0,26.0,45.0,149.0,1779,1.9617140462695453
d1_mbp_noninvasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.612639429524713,91,55.0,75.0,20.0,25.0,105.0,1753,1.942726688387969
heart_rate_apache,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The heart rate measured during the first 24 hours which results in the highest APACHE III score,0.957334292848342,149,86.0,120.0,34.0,35.0,171.0,1658,1.8252876094016621
h1_diasbp_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.946005473596982,107,62.0,86.0,24.0,26.0,122.0,1577,1.7901332667378027
h1_diasbp_noninvasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",8.014131039220176,108,63.0,87.0,24.0,27.0,123.0,1478,1.7519528703341514
h1_mbp_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",5.058170597407129,117,77.0,104.0,27.0,36.5,144.5,1499,1.7215242207777295
h1_sysbp_invasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, invasively measured",81.68416691199721,181,119.0,156.0,37.0,63.5,211.5,289,1.7204429098702227
d1_sysbp_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17336691635864054,120,83.0,110.0,27.0,42.5,150.5,1564,1.7082814513838827
h1_mbp_noninvasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, non-invasively measured",9.904811749697426,115,77.0,104.0,27.0,36.5,144.5,1376,1.665274903484249
d1_heartrate_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's highest heart rate during the first 24 hours of their unit stay,0.15810190485536402,120,87.0,116.0,29.0,43.5,159.5,1460,1.5944434737026034
cirrhosis,MEDIUM,LOW_UNIQUE_VALUES | MODERATE_OUTLIER_PERCENT,binary,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant.",0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,1428,1.5692652585771116
h1_sysbp_invasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, invasively measured",81.68416691199721,168,95.0,133.0,38.0,38.0,190.0,241,1.434694606500774
h1_heartrate_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's highest heart rate during the first hour of their unit stay,3.0420987210101074,119,77.0,106.0,29.0,33.5,149.5,1232,1.385468326529694
d1_sysbp_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17336691635864054,143,130.0,164.0,34.0,79.0,215.0,1255,1.370775717063154
d1_sysbp_noninvasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.119797629561785,143,130.0,164.0,34.0,79.0,215.0,1242,1.3695609024546236
h1_sysbp_noninvasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, non-invasively measured",8.004317817539498,149,113.0,150.0,37.0,57.5,205.5,1150,1.3630114255914285
h1_sysbp_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.937282609880824,149,113.0,150.0,37.0,57.5,205.5,1199,1.360922567024585
hepatic_failure,MEDIUM,LOW_UNIQUE_VALUES | MODERATE_OUTLIER_PERCENT,binary,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma.",0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,1182,1.2989296468054243
h1_diasbp_invasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, invasively measured",81.69834156553597,86,46.0,65.0,19.0,17.5,93.5,212,1.2630324694667858
d1_pao2fio2ratio_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,71.97234852201979,5194,192.2857143,365.0,172.7142857,-66.78571425000001,624.0714285500001,309,1.2021007586072747
h1_diasbp_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.946005473596982,92,52.0,73.0,21.0,20.5,104.5,1044,1.1850977365087292
h1_pao2fio2ratio_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest fraction of inspired oxygen for the patient during the first hour of their unit stay,87.44125696466149,3142,142.0,328.0,186.0,-137.0,607.0,120,1.041847542976211
gcs_unable_apache,LOW,LOW_UNIQUE_VALUES | LOW_OUTLIER_PERCENT,,,1.1307012092069826,2,0.0,0.0,0.0,0.0,0.0,864,0.9528430896819444
h1_mbp_noninvasive_min,LOW,LOW_OUTLIER_PERCENT,,,9.904811749697426,107,66.0,92.0,26.0,27.0,131.0,787,0.9524501083154825
h1_pao2fio2ratio_min,LOW,LOW_OUTLIER_PERCENT,,,87.44125696466149,3122,136.0,317.475,181.47500000000002,-136.21250000000003,589.6875,107,0.9289807258204549
h1_diasbp_noninvasive_min,LOW,LOW_OUTLIER_PERCENT,,,8.014131039220176,93,52.0,74.0,22.0,19.0,107.0,772,0.9150931095385417
h1_mbp_min,LOW,LOW_OUTLIER_PERCENT,,,5.058170597407129,107,66.0,92.0,26.0,27.0,131.0,795,0.9130165146886556
d1_pao2fio2ratio_min,LOW,LOW_OUTLIER_PERCENT,,,71.97234852201979,4990,132.5,300.0,167.5,-118.75,551.25,223,0.8675354989301692
h1_sysbp_noninvasive_min,LOW,LOW_OUTLIER_PERCENT,,,8.004317817539498,143,98.0,134.0,36.0,44.0,188.0,696,0.8249182193144645
h1_sysbp_min,LOW,LOW_OUTLIER_PERCENT,,,3.937282609880824,142,98.0,134.0,36.0,44.0,188.0,711,0.8070191369094913
h1_heartrate_min,LOW,LOW_OUTLIER_PERCENT,,,3.0420987210101074,109,69.0,97.0,28.0,27.0,139.0,710,0.7984435972695478
leukemia,LOW,LOW_UNIQUE_VALUES | LOW_OUTLIER_PERCENT,,,0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,643,0.706608936460142
height,LOW,LOW_OUTLIER_PERCENT,,,1.454537524669349,401,162.5,177.8,15.300000000000011,139.54999999999998,200.75000000000003,463,0.512287146350369
lymphoma,LOW,LOW_UNIQUE_VALUES | LOW_OUTLIER_PERCENT,,,0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,376,0.4131958944152619
age,LOW,LOW_OUTLIER_PERCENT,,,4.610033473989511,74,52.0,75.0,23.0,17.5,109.5,170,0.1943190261187632
aids,LOW,LOW_UNIQUE_VALUES | LOW_OUTLIER_PERCENT,,,0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,78,0.08571616958614475
icu_id,NO_REVIEW,,,,0.0,241,369.0,679.0,310.0,-96.0,1144.0,0,0.0
hospital_id,NO_REVIEW,,,,0.0,147,47.0,161.0,114.0,-124.0,332.0,0,0.0
fio2_apache,NO_REVIEW,,,,77.27148822958577,82,0.4,0.85,0.44999999999999996,-0.2749999999999999,1.525,0,0.0
apache_2_diagnosis,NO_REVIEW,,,,1.8121749370318276,44,113.0,301.0,188.0,-169.0,583.0,0,0.0
readmission_status,NO_REVIEW,LOW_UNIQUE_VALUES,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
albumin_apache,NO_REVIEW,,,,59.292575752619584,35,2.4,3.4,1.0,0.8999999999999999,4.9,0,0.0
resprate_apache,NO_REVIEW,,,,1.3455017282173738,74,11.0,36.0,25.0,-26.5,73.5,0,0.0
ventilated_apache,NO_REVIEW,LOW_UNIQUE_VALUES,,,0.7796059446316226,2,0.0,1.0,1.0,-1.5,2.5,0,0.0
map_apache,NO_REVIEW,,,,1.0838158167326335,161,54.0,125.0,71.0,-52.5,231.5,0,0.0
hematocrit_apache,NO_REVIEW,,,,21.67413561872363,353,28.0,37.9,9.899999999999999,13.150000000000002,52.75,0,0.0
d1_albumin_min,NO_REVIEW,,,,53.53221462606174,35,2.4,3.4,1.0,0.8999999999999999,4.9,0,0.0
d1_albumin_max,NO_REVIEW,,,,53.53221462606174,35,2.5,3.4,0.8999999999999999,1.1500000000000001,4.75,0,0.0
d1_hematocrit_max,NO_REVIEW,,,,12.707031718513187,312,30.0,39.0,9.0,16.5,52.5,0,0.0
d1_hematocrit_min,NO_REVIEW,,,,12.707031718513187,340,28.0,38.0,10.0,13.0,53.0,0,0.0
d1_hemaglobin_max,NO_REVIEW,,,,13.244578195021425,105,9.8,13.0,3.1999999999999993,5.000000000000002,17.799999999999997,0,0.0
d1_hemaglobin_min,NO_REVIEW,,,,13.244578195021425,115,9.2,12.6,3.4000000000000004,4.099999999999999,17.7,0,0.0
h1_hematocrit_min,NO_REVIEW,,,,80.05408175504019,361,28.1,38.1,10.0,13.100000000000001,53.1,0,0.0
h1_hematocrit_max,NO_REVIEW,,,,80.05408175504019,358,28.9,38.4,9.5,14.649999999999999,52.65,0,0.0
h1_albumin_max,NO_REVIEW,,,,91.39816601790368,37,2.5,3.6,1.1,0.8499999999999999,5.25,0,0.0
h1_albumin_min,NO_REVIEW,,,,91.39816601790368,37,2.5,3.6,1.1,0.8499999999999999,5.25,0,0.0
h1_hemaglobin_max,NO_REVIEW,,,,79.73024543957781,124,9.5,12.8,3.3000000000000007,4.549999999999999,17.75,0,0.0
h1_hemaglobin_min,NO_REVIEW,,,,79.73024543957781,124,9.3,12.7,3.3999999999999986,4.200000000000003,17.799999999999997,0,0.0
